text,label,task
How do you wonder who could solve this problem.,0,eng
The fact that no candidate was elected shows that he was inadequate.,0,eng
He sees often Mary.,0,eng
Sees he I often Mary?,0,eng
John seems that it is likely to win.,0,eng
John seems will win.,0,eng
How do you wonder which problem to solve?,0,eng
How many people do you wonder whether I consider intelligent?,0,eng
How intelligent do you wonder whether I consider John?,0,eng
What the hell do you wonder how to say?,0,eng
A man to be in the garden is unlikely.,0,eng
A man to come is unlikely.,0,eng
John to call would be unlikely.,0,eng
This conclusion to be arrived at is surprising.,0,eng
John believes that him is sick.,0,eng
John tries him to win.,0,eng
John wonders where him to go.,0,eng
Who do you think that believes John to be innocent?,0,eng
Who would you prefer for to win the race?,0,eng
The children eat all chocolate.,0,eng
It's probable in general that he understands what's going on.,0,eng
In general that he understands what's going on is surprising.,0,eng
I explained to fix the sink.,0,eng
Mickey teamed with the women up.,0,eng
Mickey pointed that Gary had left out.,0,eng
Mickey slips all the time up.,0,eng
John thinks what Mary bought.,0,eng
What does John wonder Mary bought?,0,eng
Who is he reading a book that criticizes?,0,eng
What do you remember where we bought?,0,eng
I wonder who what bought?,0,eng
I wonder what who bought?,0,eng
The boat sank to collect the insurance.,0,eng
Headway was unmade.,0,eng
John was unknown to be the murderer.,0,eng
Did he try ever to talk to the student?,0,eng
There is too likely to be a riot to be a serious discussion of the issues.,0,eng
"Bill seems to be obnoxious, but I don't think that Sam happens.",0,eng
"Bill seems to be obnoxious, but I don't think that Sam turns out.",0,eng
"Bill seems to be obnoxious, but I don't think that Sam tends.",0,eng
They tried all to like John.,0,eng
John is wanted to win.,0,eng
John would be liked to win.,0,eng
John would be hated to win.,0,eng
John would be preferred to be the candidate.,0,eng
The house destroyed John.,0,eng
The electrode was left by ions.,0,eng
The box gradually contained the ball.,0,eng
The box at once contained the ball.,0,eng
The box contained the ball to the ground.,0,eng
Fruit hit the roof against the ground.,0,eng
Fruit at once hit the roof against the ground.,0,eng
Fruit dropped from the tree from the clouds.,0,eng
Fruit fell against the house.,0,eng
Fruit fell against the house against the ground.,0,eng
The maple changed into an oak from a cedar.,0,eng
The farm finally reached John after much litigation.,0,eng
Water emptied the cup.,0,eng
The cup filled the water high.,0,eng
The cup filled of water.,0,eng
The cup emptied with water.,0,eng
the road blocked with a stone.,0,eng
the branch dropped bare of its apple.,0,eng
the logs piled the barge high.,0,eng
the bottle drained the liquid free.,0,eng
The tree broke off some branches.,0,eng
The kettle bubbled water up.,0,eng
The cup filled water.,0,eng
The stone knocked the pole into the road.,0,eng
The stone knocked against the pole into the road.,0,eng
The window broke from hail stones.,0,eng
John fed the baby rice up.,0,eng
Spray the wall with all the paint.,0,eng
What the stone did to the wall was hit it.,0,eng
What the stone did to the whole wall was hit it.,0,eng
John concluded Bill to be a fool.,0,eng
Give the bottle to the baby awake.,0,eng
Give the baby the bottle awake.,0,eng
Rub the cloth on the baby asleep.,0,eng
Rub the baby with the cloth asleep.,0,eng
Dry the baby with the cloth torn.,0,eng
The cup knocked the stone apart.,0,eng
John gave Bill of the book.,0,eng
John perfectly learned French.,0,eng
Bill poorly recited his lines.,0,eng
John perfectly learned French immediately.,0,eng
John learned French immediately perfectly.,0,eng
"Clearly, John immediately will probably learn French perfectly.",0,eng
"Immediately, John probably will clearly learn French perfectly.",0,eng
"Clearly, John perfectly will immediately learn French probably.",0,eng
John perfectly rolled the ball down the hill.,0,eng
John perfectly shot the ball.,0,eng
John intimately spoke to Mary.,0,eng
John spoke intimately French to Mary.,0,eng
John spoke to Mary French.,0,eng
Mary persuaded to leave John.,0,eng
The lions ate raw the meat.,0,eng
Mary persuaded that he should rest Bill.,0,eng
I saw the men all.,0,eng
The men were arrested all.,0,eng
The men arrived all.,0,eng
Bill proud of himself John doesn't consider.,0,eng
Home was gone by John.,0,eng
The room was left angry by Mary.,0,eng
The room was left angry.,0,eng
Bill is resembled by John.,0,eng
10 lb was weighed by the package.,0,eng
$10 was cost by this book.,0,eng
John was cost $10 by the book.,0,eng
John is impressed by Bill as pompous.,0,eng
The boys were made a good mother.,0,eng
The boys were made a good mother by Aunt Mary.,0,eng
The kids were failed by Max as a father.,0,eng
The kids were failed as a father.,0,eng
The men were struck by the idea as nonsense.,0,eng
The men were promised to leave.,0,eng
He impresses his friends all as pompous.,0,eng
Aunt Mary made the boys all a good mother.,0,eng
Max failed the kids all as a father.,0,eng
Frank promised the men all to leave.,0,eng
We proclaimed to the public John to be a hero.,0,eng
We proclaimed sincerely John to be a hero.,0,eng
We proclaimed sincerely to the public John to be a hero.,0,eng
They represented to the dean Mary as a genuine linguist.,0,eng
They represented seriously Mary as a genuine linguist.,0,eng
We proved to the authorities Smith to be the thief.,0,eng
We proved conclusively Smith to be the thief.,0,eng
We proved conclusively to the authorities Smith to be the thief.,0,eng
The lions ate at the meat raw.,0,eng
We love they.,0,eng
We love their.,0,eng
Us love their.,0,eng
he belief that Mary kissed Bill is mistaken.,0,eng
him belief that Mary kissed Bill is mistaken.,0,eng
Mary is fond him.,0,eng
Mary's criticism him was cruel.,0,eng
John to love Mary would be doubtful.,0,eng
Mary considered to have loved her.,0,eng
Mary tried John to go abroad.,0,eng
Mary managed John to go abroad.,0,eng
Mary desired John to go abroad.,0,eng
Mary believed he to have loved her.,0,eng
Mary considered he to have loved her.,0,eng
Mary reported he to have loved her.,0,eng
Mary believed his to have loved her.,0,eng
Mary considered his to have loved her.,0,eng
Mary reported his to have loved her.,0,eng
There is strangers in that garden.,0,eng
There is arriving three men at that station.,0,eng
I consider there a man in that garden.,0,eng
They alleged many strangers to have been in that garden.,0,eng
John wagered a stranger to have been in that haunted house.,0,eng
I enjoy him taking a bath.,0,eng
I detest him taking a bath.,0,eng
I noticed kissing Mary.,0,eng
There was known to everyone.,0,eng
John wanted to leave the room happy and leave the room he did happy.,0,eng
I raw eat fish drunk.,0,eng
I only eat fish drunk raw.,0,eng
"Sally started running down the street, but only after José started.",0,eng
"Sally made Bill laugh, and then José made.",0,eng
"Mary came to read Fred's story, and I also came to.",0,eng
"Mary was told to bring something to the party, so she asked Sue what to.",0,eng
We might go on vacation if we can ever figure out when to.,0,eng
"Ron wanted to wear a tuxedo to the party, but Caspar couldn't decide whether to.",0,eng
You shouldn't play with rifles because to is dangerous.,0,eng
John is being discussed and Sally is being too.,0,eng
"I remember John being discussed, but you recall Sally being.",0,eng
"It's we go to the meeting, that Sally will tell us when.",0,eng
"Mary claimed that would eat cabbage, Holly.",0,eng
"Mary claimed that hasn't eaten cabbage, Holly.",0,eng
"Mary claimed that eating cabbage, Holly started.",0,eng
"Mary claimed that eat cabbage, Holly made me.",0,eng
"Mary claimed that have eaten cabbage, Holly should.",0,eng
"Mary claimed that intelligent, I consider Holly not.",0,eng
Lilly recounted a story to remember because Holly had also recounted a story to.,0,eng
I reviewed Joe's attempt to find Holly while you reviewed José's attempt to.,0,eng
"Mary questioned Joe's desire to eat cabbage, but only after I had questioned Sally's desire to.",0,eng
"Sally explained the attempt to arrest Holly, but only after I had denied the decision to.",0,eng
You shouldn't have played with rifles because to have is dangerous.,0,eng
"Ron wanted to be wearing a tuxedo to the party, but Caspar didn't know whether to be.",0,eng
Lilly recounted a story to be remembered because Holly had recounted a story to be.,0,eng
"Lilly decided eating cabbage, to be.",0,eng
You shouldn't play with rifles because play with rifles to is dangerous.,0,eng
"Ron wanted to wear a tuxedo to the party, but wear a tuxedo to the party Caspar couldn't decide whether to.",0,eng
Lucy Barnes recounted a story to remember because remember Holly had recounted a story to.,0,eng
"I will, if I can work on it.",0,eng
A proof that God exist does.,0,eng
A proof that God does exists.,0,eng
I visited every town in every country I had to.,0,eng
"My uncle didn't buy anything for Christmas, but my aunt did it for him and it was bright red.",0,eng
"I know which book Mag read, and which book Bob asked why you hadn't.",0,eng
"I know which book Mag read, and which book Bob discussed after I had.",0,eng
"Although Mag doesn't eggplants, Sally eats cabbage.",0,eng
"Although I don't know which book Sam did, I do know which book Sally read.",0,eng
"Near everyone Angleton did, Dulles stood.",0,eng
"Sally will stand near Mag, but he won't Holly.",0,eng
"While Holly didn't discuss a report about every boy, she did every girl.",0,eng
Sam stood near yesterday every one of the women we'd been discussing.,0,eng
Truman visited yesterday you.,0,eng
Truman told the story Bob.,0,eng
"While Rusty might leave in order to please Mag, he won't his father.",0,eng
"While Doc might claim that Bob had read his book, he won't the paper.",0,eng
"I'll turn the radio down, but I won't up.",0,eng
"I know which book Max read, and which book Oscar hasn't done so.",0,eng
Rusty talked about himself only after Mary did talk about himself.,0,eng
"David is a great artist, and when he does, his eyes squint at you.",0,eng
"The candidate was dogged by charges of infidelity, or at least trying to.",0,eng
John likes not Mary.,0,eng
John meets often Mary.,0,eng
John tries to meet often Mary.,0,eng
John tries to meet not Mary.,0,eng
Runs Mary the marathon?,0,eng
Mary runs often the marathon.,0,eng
"I did not, as Bill had thought, go to the store.",0,eng
The writers so believed the boy.,0,eng
The writers didn't so believe the boy.,0,eng
The problem's perception is quite thorough.,0,eng
The problem's knowledge is quite thorough.,0,eng
The problem knows easily.,0,eng
The ship sank to collect the insurance.,0,eng
The ship's sinking to collect the insurance was very devious.,0,eng
This drug's testing on oneself is too risky.,0,eng
Rich we have impeccable taste.,0,eng
I read three his books.,0,eng
I read every his book.,0,eng
That few boys came upset any of the teachers.,0,eng
Guinevere has a single bone that is in every corner of the house.,0,eng
What does who admire?,0,eng
You filed every paper without inspecting.,0,eng
Every man surrounded the fort.,0,eng
Every man lifted the table together.,0,eng
We voted for me.,0,eng
Old pictures of themselves convinced the children to pretend to be adults.,0,eng
Each other's houses proved to the women that they had bad taste.,0,eng
These stories about himself describe John better than any official biography.,0,eng
The cat that the dog that the rat bit chased died.,0,eng
Jean reads never this newspaper.,0,eng
What did Bill buy potatoes and?,0,eng
"What dl,d John fall asleep and Bill wear?",0,eng
Here is the snowball which I chased the boy who threw at our teacher.,0,eng
Where's the bikini which Tom mentioned the fact that Sue had worn?,0,eng
Who did he expect who I was acquainted with to show up?,0,eng
What table will he put the chair between some table and?,0,eng
What table will he put the chair between and some sofa?,0,eng
I ran a man who was old down.,0,eng
I'm going to call somebody who is.,0,eng
I polished the vase which was from India up.,0,eng
He attributed to a short circuit the fire.,0,eng
He threw into the wastebasket the letter.,0,eng
They dismissed as to costly the proposal.,0,eng
I consider to be a fool the senator who made the opening speech.,0,eng
Did that John showed up please you?,0,eng
That that John showed up pleased her was obvious.,0,eng
What what I ate cost almost broke me.,0,eng
I went out with a girl who that John showed up pleased.,0,eng
I loaned my binoculars a man who was watching the race.,0,eng
"We called my father, who had just turned 60, up.",0,eng
"We elected my father, who had just turned 60, president.",0,eng
"They gave my father, who had just turned 60, it.",0,eng
He figured out it.,0,eng
He figured out that.,0,eng
He figured out Ann.,0,eng
I sent him it.,0,eng
We elected the man who he had brought with him president.,0,eng
He kept company some girls who had been injured in the wreck.,0,eng
He kept some girls who had been injured in the wreck company.,0,eng
I insist on seeing through all the students who had started out the term in my class.,0,eng
I insist in seeing all the students who started out the term in my class through.,0,eng
The doctor brought to the passengers who had passed cut from the fumes.,0,eng
He tries to put on everyone who he doesn't like.,0,eng
He tries to put everyone who he doesn't like on.,0,eng
I watched the Indians who the man who had been my advisor in my freshman year had advised me to study when I got to Utah talk.,0,eng
I know a man who Tom drives as does.,0,eng
I know a man who John is taller than is.,0,eng
I know a man who John is as tall as is.,0,eng
Mary has never kissed a man taller than John is.,0,eng
Mary has never kissed as tall a man as John is.,0,eng
The man who I read a statement which was about is sick.,0,eng
I read that Bill had seen myself.,0,eng
Who does Phineas know a girl who is jealous of?.,0,eng
Who does Phineas know a girl who is behind?,0,eng
Who does Phineas know a girl who is working with?,0,eng
Who does Phineas know a girl jealous of?,0,eng
Who does Phineas know a girl behind?,0,eng
Who does Phineas know a girl working with?,0,eng
The hat which I believed the claim that Otto was wearing is red.,0,eng
Rutherford is understood. by himself.,0,eng
The pudding which the man who ordered it said would be tasty was a horror show.,0,eng
"The money which I am discussing the claim that the company squandered amounts to $400,000.",0,eng
"The money which I am discussing Sarah's claim that the company squandered amounts to $400,000.",0,eng
I made a proposal we squander the money.,0,eng
Myron is making Suzie's claim that dead is better than red.,0,eng
I have Tom's feeling that the company will squander the money.,0,eng
Myra took Betty's snooze.,0,eng
Bill made Sarah's gal to me of $40.,0,eng
Max gave the car Levi's shove.,0,eng
The claim you won't need it is being made by Jack.,0,eng
He said that himself was hungry.,0,eng
I know a man who hates myself.,0,eng
I read him Judy's statement about himself.,0,eng
I know two men behind myself.,0,eng
What sofa will he put the chair between some table and?,0,eng
What table will he put the chair between and some sofa.,0,eng
The lute which Henry plays and sings madrigals is warped.,0,eng
The nurse who polished her trombone and the plumber computed my tax was a blond.,0,eng
Which trombone did the nurse polish and?,0,eng
The plumber who the nurse polished her trombone and computed my tax was a hefty fellow.,0,eng
Whose tax did the nurse polish her trombone and the plumber compute?,0,eng
The tall nurse who Tony has a Fiat and yearns for is cruel to him.,0,eng
The shirts which I went to the movies and didn't pick up will cost us a lot of money.,0,eng
The excellent whisky which I went to the store and have bought was very costly.,0,eng
Tony has a Fiat to yearn for a tall nurse.,0,eng
I went to the movies not to pick the shirts up.,0,eng
I went to the movies to not pick the shirts up.,0,eng
I went to the store to have bought some whisky.,0,eng
Which boy works in a skyscraper and the girl in a quonset hut?,0,eng
The skyscraper which the boy works in and the girl in a quonset hut belongs to Uncle Sam.,0,eng
The girl who the by works in a skyscraper and in a quonset but has a dimple on her nose.,0,eng
Which quonset hut does the boy work in a skyscraper and the girl in?,0,eng
The luscious chick who Billy and went to the movies will wed me ere the morn.,0,eng
The Ferrari which Pietro bought from me and Sofia adores him cost him a bundle.,0,eng
"Tom picked, and I washed some turnips, and Suzie will prepare, these grapes.",0,eng
"Although Bob may not be a nut, many people have claimed and I think so too.",0,eng
Sally's sick and what did you bring me?,0,eng
Make yourself comfortable and I got sick.,0,eng
What are you eating or did you play chess?,0,eng
Which boy and the girl embraced?,0,eng
I'm hungry and did you play chess?,0,eng
I saw you there and who ate what?,0,eng
What exploded when and I warned you it would?,0,eng
"The dumplings which Sasha is gobbling down faster than I can reheat are extremely tasty, if I do say so.",0,eng
I think Anita may have poisoned the meatballs which Sasha is gobbling down dumplings faster than I can reheat.,0,eng
The deed which I want to peruse that contract before filing away is probably a forgery.,0,eng
Reports of which the government prescribes the height of the Lettering on the covers are invariably boring.,0,eng
Reports on the covers of which the government prescribes the height of the lettering almost always put me to sleep.,0,eng
Reports of the lettering on the covers of which the government prescribes the height are shocking waste of public funds.,0,eng
By which Greek authors does he have books?,0,eng
The boy who I watched Bill and was vain.,0,eng
The boy Bill and who I watched was vain.,0,eng
They will give me a hat that I won't like which I know.,0,eng
The boy whose guardian's we elected employer president betrayed us.,0,eng
The boy whose we elected guardian's guardian's employer president betrayed us.,0,eng
The boy's guardian's we elected employer president.,0,eng
The boy's we elected guardian's employer president.,0,eng
We elected employer president the boy's guardian's.,0,eng
We elected guardian's employer president the boy.,0,eng
Which boy's guardian's did we elect employer president?,0,eng
How have you picked up TNT carelessly?,0,eng
How tall did Sheila marry a man?,0,eng
How did Sheila marry tall a man?,0,eng
Jack disappeared in a mysterious manner and Marion disappeared in one too.,0,eng
What time did you arrive at?,0,eng
The manner which Jack disappeared in was creepy.,0,eng
The place which I live at is the place where Route 150 crosses the Hudson River.,0,eng
The only relatives with whom I'd like to do away are my aunts.,0,eng
To whom is she trying to make up now?,0,eng
On that meeting I'd like to sit in.,0,eng
One plan of which I got wind was calculated to keep us in suspense.,0,eng
Did you notice of which difficulties she made light?,0,eng
Of whom are you trying to get hold?,0,eng
Light was made of her indiscretions.,0,eng
Hold has been gotten of some rare old manuscripts.,0,eng
The persons on whom we kept tabs all proved to be innocent.,0,eng
Faith was had in all kinds of people.,0,eng
Mike talked to about politics yesterday my friends.,0,eng
"She made light, not too surprisingly, of the difficulties we might have at the border.",0,eng
The University's students are intelligent and faculty is committed to freedom.,0,eng
The boy whose uncle and Tom's aunt's grandmother were kissing was furious.,0,eng
The teacher who that the principal would fire was expected by the reporters is a crusty old jerk.,0,eng
The hat which that I brought seemed strange to the nurse was a fedora.,0,eng
"That piano, the boy's playing which loudly drove everyone crazy, was badly out of tune.",0,eng
"That piano, which the boy's playing loudly drove everyone crazy, was badly out of tune.",0,eng
Did that he played the piano surprise you?,0,eng
Would for him to have played the piano have surprised you?,0,eng
Is whether he played the piano known?,0,eng
Mike quipped she never wore this hat.,0,eng
I dislike it for him to tickle myself.,0,eng
I dislike his tickling myself.,0,eng
The cages which we donated wire for the convicts to build with are strong.,0,eng
What kind cf parakeets are they investigating all people owning?,0,eng
Her efficient looking of the answer up pleased the boss.,0,eng
She did with her father away.,0,eng
A proof that the claim had been made was given that John had lied.,0,eng
That Sam didn't pick those packages up is possible which are to be mailed tomorrow.,0,eng
That Sam didn't pick those packages which are to be mailed tomorrow up is possible.,0,eng
It is possible that Sam didn't pick those packages which are to be mailed tomorrow up.,0,eng
Sam didn't pick those packages up until it had stopped raining which are to be mailed tomorrow.,0,eng
Which packages is it possible that Sam didn't pick up which are to be mailed tomorrow until it had stopped raining?,0,eng
Which packages didn't Sam pick up which are to be mailed tomorrow until it had stopped raining?,0,eng
The coat which a girl came in who had worn was torn.,0,eng
Which picture is Ann going to send to her teacher of Chairman Mao as soon as she gets home?,0,eng
"Who is Ann going to send a picture to her teacher of, as soon as she gets home?",0,eng
That a review came out yesterday is catastrophic of this article.,0,eng
I'll give to my good friend from Akron some.,0,eng
I will ask you to believe that he tried to force me to give her any money.,0,eng
That he ever went there alone is certain.,0,eng
I never met that man who anybody tried to kill.,0,eng
Tom told anybody that he wasn't sick.,0,eng
Buffy couldn't do 100 push ups and anybody laughed.,0,eng
That the sun is out was obvious.,0,eng
That Jack ever slept is possible.,0,eng
I talked to Winston about Winston.,0,eng
I talked to Winston about him.,0,eng
John is prouder of having gone than nobody expected me to believe he would be.,0,eng
John is prouder of having gone than John didn't expect me to believe he would be.,0,eng
John is prouder of having gone than John expected nobody to believe he would be.,0,eng
John is prouder of having gone than John expected me not to believe he would be.,0,eng
John is prouder of having gone than than John expected me to believe not all.,0,eng
John is prouder of having gone than John expected me to believe that he wasn't.,0,eng
"Tom ordered bacon, and Dick lettuce, and I think that Harry tomatoes.",0,eng
Joe is taller than I think Mary.,0,eng
"It never occurred to Harvey because he is insensitive to other people's desires that, I might want to leave.",0,eng
He'll bring me one if he sees a hot dog.,0,eng
Seven more soldiers came in after ten ones had left.,0,eng
Seven more ones came in after ten soldiers had left.,0,eng
"After ten soldiers had left, seven more ones came in.",0,eng
"After ten ones had left, seven more soldiers came in.",0,eng
Seven more came in after ten soldiers had left.,0,eng
"If it, I've lost $500.",0,eng
"Harry thinks so, although no one else thinks Sally is innocent.",0,eng
I will if I can work on it.,0,eng
Whether he left!,0,eng
Why he knows the answer!,0,eng
Which boy is tall!,0,eng
How brave they must believe the claim that you are!,0,eng
How brave he is tall and!,0,eng
How brave Mike is cowardly and Sam is!,0,eng
Bill left when I am looking at a girl who vomited.,0,eng
Bill left when I believe the claim that the bomb had just exploded.,0,eng
"When I am awake at that time and Susan is asleep, Bill will leave.",0,eng
Bill left when that no one else was awake is certain.,0,eng
I brought a razor to shave himself with.,0,eng
I brought a razor to shave myself with.,0,eng
I brought a razor with which to shave himself.,0,eng
I brought John a razor to shave myself with.,0,eng
I brought John a razor with which to shave myself.,0,eng
Here's a knife which for you to cut up the onions with.,0,eng
Here's a knife for you to say was on the table.,0,eng
Here's a pole for you to kiss the girl who tied the string around.,0,eng
Here's a razor for you to chop up these nuts with this cleaver and.,0,eng
Here's a razor for that you will be shaved with to be announced.,0,eng
Here's a razor for it to be announced that you will be shaved with.,0,eng
I loaned Maggie a Swiss Army knife whose to open the padlock with corkscrew.,0,eng
"Fluffy is sick, which I slapped a boy who wouldn't acknowledge.",0,eng
"Fluffy is sick, which I fell asleep and Tom suddenly realized.",0,eng
"Fluffy is sick, which that no one here realizes is certain.",0,eng
"Fluffy is sick, as nobody knows.",0,eng
"Fluffy is sick, as surprises me.",0,eng
It is this hat that I know the boy who is wearing.,0,eng
What I know the boy who was wearing is this hat.,0,eng
This hat I know the boy who was wearing.,0,eng
What the gloves and were on the table was this hat.,0,eng
This hat the gloves and were on the table.,0,eng
It is this hat that that he was wearing is certain.,0,eng
What that he was wearing is certain is this hat.,0,eng
It was John's that I stole bike.,0,eng
The one whose I stole bike was John's.,0,eng
John's I stole bike.,0,eng
Maxwell isn't half the doctor.,0,eng
Maxwell isn't half the doctor that was here.,0,eng
Maxwell isn't half the doctor that polished off the vodka.,0,eng
Half the doctor that Maxwell's father was sat down.,0,eng
Maxwell isn't half the doctor that I know an African chief who is.,0,eng
Maxwell isn't half the doctor that his sister is a psychologist and his father was.,0,eng
Maxwell isn't half the doctor that that he would be if he studied is certain.,0,eng
He's the happiest that we ever talked to the boy who had seen him.,0,eng
The hardest that I ever knew a man who said that it had snowed was last January 12th.,0,eng
He's the happiest that I've ever seen him drunk and.,0,eng
The hardest that all the power lines were down and it snowed was last January 12th.,0,eng
He is the happiest that that he has ever been is believed.,0,eng
The hardest that that it has snowed here is believed was last January 12th.,0,eng
A friend of mine and a girl who was from his home town met in Vienna who was working in Europe.,0,eng
