text,label
Microsoft decision to drastically slash the free allotment of its OneDrive storage service has annoyed Windows phone users. ,microsoft
"Coinciding with Movember, Microsoft has launched a mustache ranking website following the success of its age guessing website that it",microsoft
"Navigating America's ship-of-state in the wake of terrorist attacks in Paris by Islamic State jihadis, President Barack Obama has made an",obama
"Microsoft said it is encouraging all Windows users to upgrade their systems to Windows 10, saying the latest OS is """"""safer, faster, and full of",microsoft
"This is exactly the strategy that has been adopted by the Israeli occupation against the Islamic Movement in 48 Palestine, led by Sheikh Raed",palestine
"President Barack Obama said on Wednesday that he saw &quot;hysteria and exaggeration of risk&quot; in some of the opposition by politicians at home to U.S. acceptance of more refugees from Syria. Speaking on the sidelines of the Asia-Pacific Economic Cooperation summit in Manila, he said calls to halt the flow of refugees to the United States were aimed at scoring political points. &quot;It needs to stop ",obama
"China is trying to transition form being an investment to consumer-led economy, but the transition will take time. Bloomberg. by Keyu Jin.",economy
"Trying to reassure a nation on edge, President Barack Obama said Sunday the Islamic State group &quot;cannot strike a mortal blow&quot; against the U.S., and he warned that overreacting to the Paris attacks would play into extremists' hands. &quot;We will destroy this terrorist organization,&quot; he vowed. Ending ",obama
"As Europe grapples with its refugee crisis, another one has been unfolding in Southeast Asia. That's where members of a stateless minority",obama
"President Obama would veto a bill that's intended to tighten security requirements for admitting Syrian refugees, the White House said",obama
"President Obama on Tuesday vowed to work even more with allies like France to prevent further terrorist attacks from groups like the Islamic State in Iraq and Syria (ISIS).&quot;Today, [French President] Francois Hollande and I agreed that our nations must do even more together,&quot; Mr. Obama said at a joint press conference at the White House with Hollande. &quot;We'll do even more to prevent attacks at ",obama
Palestine's 'The Idol' was another major winner at the Brisbane ceremony. read more ,palestine
"&quot;The study shows that the European economy is gathering steam and beginning to put its economic woes in the rear-view mirror,&quot; said",economy
"In an interview with ET Now, Ben Luk, JPMorgan Asset Management, talks about the global set up, especially the cues Chinese economy is",economy
Alberta Premier Rachel Notley gives her state of the province speech to the Edmonton Chamber of Commerce at Northlands Expo Centre in,economy
"Microsoft's Surface Pro 4 is now available to buy in the UK. The hotly anticipated follow-up to the Surface Pro 3, which we loved, has beaten the",microsoft
Microsoft is opening new data centers in Germany to allow European customers to hide their digital information from US government,microsoft
"But while the policy shift is expected to usher in new investments and boost consumption at a time when the economy it is slowing, it may also",economy
Last week’s CSO labour market statistics for the final quarter of 2015 showed a slowdown in the pace of job creation in the economy and an associated deceleration in the rate of decline in unemployment. ,economy
"And, at the same time, such reforms can move the economy away from the dependence on external financing to more organic financing,",economy
Ted Cruz are arguing for flat tax plans they argue would be fairer to Americans and would ignite growth in the U.S. economy. Paul says he has,economy
"On one side are the spiritual heirs, who thought in the mid-1980s the West was doomed to failure due to the chaotic nature of its economies.",economy
"Palestine Legal is the organization that NGO Monitor in a recent report, BDS ON AMERICAN CAMPUSES: SJP AND ITS NGO NETWORK (full",palestine
"When Microsoft released its first quarter earnings results Thursday afternoon, the tech giant managed to beat Wall Street expectations on both",microsoft
"""""""I am angry that President Obama unilaterally decides that we'll accept up to 100,000 Syrian refugees while his administration admits we",obama
"PALESTINE, Texas (AP) — A Texas judge has backtracked on an earlier order that placed extraordinary restrictions on media coverage of the man suspected of killing a family of six at an East Texas campsite. Hudson is charged with six counts of capital murder in last month's killing on rural land adjacent to his, about 100 miles southeast of Dallas. ",palestine
(RAMALLAH ) - The Palestine Liberation Organisation on Wednesday said an EU decision to label goods from Israeli settlements was a positive step but did not go far enough. ,palestine
"U.S. President Barack Obama greets students during a tour of the Dignity for Children Foundation, an education program for refugee and",obama
"Speaking at the company's Future Decoded event in London on Tuesday, Nadella said Microsoft aims to reinvent the interactions between you",microsoft
"The uprising is enhancing solidarity with Palestine all over the world. settlements in Occupied Palestine (This move is a modest first step, and",palestine
Canada's budget watchdog says the outlook is growing more bleak just weeks after Prime Minister Justin Trudeau won power with a pledge to,economy
" Economy to grow half as fast as earlier projected Budget deficits for years to come, even without Trudeau's plans Housing headed for slowdown, but might still rescue economy Canada’s Parliamentary Budget Office handed newly sworn-in Prime Minister Justin Trudeau some early bad news on Tuesday, slashing its growth forecast for this year and predicting deficits in each of the next five years. The ",economy
"The annual cost of cyber crime to the Northern Ireland economy stands at """"98.71 million. This figure includes t ax fraud (""""37.7m), welfare fraud",economy
"Its worth focusing on Mexico and Palestine, insofar as readers of these notes are more likely to squawk about Palestine, and see Mexico as",palestine
Organization for Economic Cooperation and Development Chief Economist Catherine L Mann discusses climate change. She speaks on,economy
" Palestine will be allowed to stage their World Cup qualifier against Saudi Arabia on home territory next month following a decision by FIFA, soccer's governing body said on Wednesday. Saudi Arabia had declined to play the fixture last month, saying they could not travel to the Palestinian territories due to force majeure. &quot;The Palestinian Football Association (PFA) has given full security ",palestine
"In 1997, Microsoft built Terraserver, a vast one terabyte storage system that was the forefather to the big data centers today. On it, the company",microsoft
"Kuala Lumpur, Malaysia (CNN) President Barack Obama made another emotional case Saturday for welcoming migrants, who are fleeing",obama
"FXStreet (Bali) - Japan economy minister Amari is crossing the wires, noting that he aims to cut corporate tax below 30%, adding that his",economy
"The dollar climbed against most emerging-market currencies in Asia Tuesday on fears about the global economy and renewed talk of a US interest rate rise this year. With expectations it will soon widen its already vast bond-buying scheme, the euro has fallen against the dollar for most of the past week. ",economy
"And it's forced the Obama administration """""" which has never had good relationships with Democrats on Capitol Hill """""" to fight an uphill battle.",obama
Peru kept borrowing costs unchanged for a second month as policy makers maintain monetary stimulus as the economy recovers and inflation slows. ,economy
"President Barack Obama speaks during a news conference in Kuala Lumpur, Malaysia, Sunday, Nov. 22, 2015. In Southeast Asia, Obama has",obama
"WASHINGTON — President Barack Obama pledged solidarity with France on Tuesday after the Paris attacks, declaring &quot;Nous sommes tous Français&quot; — we are all French. Standing alongside French President Francois Hollande after they met at the White House to discuss the U.S.-led campaign against the so-called Islamic State militants, Obama declared that the coalition would be victorious against the ",obama
"The Israeli state terrorists, who commit mass murder in Palestine, are part of a movement that sees an inevitable mortal final battle between",palestine
"Everybody around me was talking Palestine, and whenever we spoke, mother, I had to tread lightly because all the voices calling Palestine",palestine
"One year ago, President Obama announced a series of executive actions on immigration. Nov. 20, 2015 marks the one-year anniversary for",obama
"November 9, 2015 -- London, UK -- The largest event in the Relevant Products/Services calendar will be marked with an interactive labyrinth",microsoft
Is the economy about to tip into recession? Strategists on Wall Street have talked about the US ,economy
"She told the story of a woman she met who worries about her economic situation, then said, """"""Yes, problems have gotten much worse under",economy
"Kuala Lumpur, Nov. 26 (BNA): Malaysia has called on the United Nations and its secretary-general to be resolute in their mandate,",palestine
(CNN) President Barack Obama declared Thursday that the Paris terror attacks won't stop his plan to close the Guantanamo Bay military prison.,obama
"Tsipras Prime Minister Alexis Tsipras will pay an official visit to Israel and Palestine at a very crucial period for Middle East, the bilateral",palestine
KUALA LUMPUR - US President Barack Obama arrived in Malaysia on Friday on the final leg of a series of summits aimed at furthering Washington's bid to rebalance ties towards Asia and challenge China's increasingly assertive posture in the region. ,obama
"A top London University has expressed concern over an exhibition erected by the Palestinian society, which it said 'apparently celebrates'",palestine
"obama While President Obama was in Malaysia earlier, he held a press conference and addressed the media's coverage of terrorism issues.",obama
"As it metastasized, Obama yawned, calling it the """"""JV team."""""" When Syrian president Bashar al-Assad violated Obama's """"""red line,"""""" Obama",obama
"Obama is in Malaysia for the Asean Summit and related summits. """""" Reuters pic, November 21, 2015. Social activists identified corruption as the",obama
"There are tens of millions of Americans living that way after the worst recovery from an economic recession since World War II. And, let's be",economy
We have something of a problem here with the way that we measure the economy. That problem being about how we measure the digital,economy
"The U.N. marks the International Day of Solidarity with the Palestinian People, in New York on Monday, November 23, 2015. (UN Photo/Rick",palestine
"The Internet poked fun at President Barack Obama this weekend by giving him a range of new hairstyles, from Beyonce to Drake. Twitter users",obama
Microsoft is on the verge of issuing its first major up […] ,microsoft
What happens to the Chinese economy resounds far beyond Shenzhen and Shanghai. Those affected by the world's second-biggest economy range from South African coal miners and Canadian oil-field workers to ,economy
"GOP presidential front-runner Donald Trump said Thursday that he considers brokering harmony between Israel and Palestine """"""the toughest",palestine
The World Bank ranks countries around the globe on how their regulatory regimes boost economic growth. The U.S. listed only seventh on the,economy
"A top Senate Democrat broke with President Obama on his assessment of the Islamic State's strength, saying in the wake of the Paris attacks",obama
There's the Federal Reserve's plan to raise interest rates - which poses a deep test to economies worldwide. There's Europe's migration crisis.,economy
Microsoft's new Surface Pro 4 tablet is sold out in many of the most desired configurations. Here's a roundup of what's currently available and,microsoft
"NEW DELHI: India-origin chief of Microsoft Satya Nadella will co-chair the World Economic Forum (WEF) annual meet in January, an event that",microsoft
"Microsoft has found a home in the Big Apple for showcasing its products and services, just five blocks south of Apple's own flagship store. ",microsoft
"WASHINGTON """""" An event that invokes widespread fear and confusion, such as the Paris attacks, is also an occasion for leadership.",obama
"President Barack Obama urged young people in predominantly Muslim Malaysia on Friday to reject the &quot;terrible vision&quot; that drove the Paris attacks, offering an alternative vision in which traditional cultures coexist with a diverse modern world. ",obama
"PALESTINE, Texas (AP) &quot; The lone survivor of an attack that left six dead at an East Texas campsite has told authorities that the suspect had drinks with the blended family before suddenly producing a gun and firing on them. ",palestine
"Activist hedge fund Jana Partners took a long position in Microsoft during the third quarter, according to an investor letter. The firm bought an",microsoft
"President Obama returns to Washington this week to meet with French President Francois Hollande, following the deadly terror attacks in Paris that have dominated world politics including sharp debate in the U.S. about how to stop Islamic extremists believed responsible for the strikes. ",obama
"In the fourth GOP debate, candidates laid out their plans for economic growth, which included slashing taxes, shrinking the size of federal",economy
US president Barack Obama has called on South-East Asian leaders to halt building artificial islands and militarising their claims in the,obama
There were snipers on the rooftops in Jesus' birthplace. On this particular day they were just a safety precaution - the Prime Minister was due to visit - but guns and bombs are daily fare when you live in a political tinderbox like ,palestine
"Call it """"""safe harbour"""""" in action: Microsoft has announced it's going to go along with Germany's data privacy concerns and start hosting Azure,",microsoft
"PALESTINE, Texas — A Texas judge has backtracked on an earlier order that placed extraordinary restrictions on media coverage of the man suspected of killing a family of six at an East Texas campsite. ",palestine
"Microsoft’s Surface Pro 4 is available for purchase in New Zealand from today. Surface Pro 4 is the tablet that can replace your laptop. Powerful, portable and designed to maximise productivity, Surface ",microsoft
"President Obama meets with Russian President Vladimir Putin at the G20 Summit in Antalya, Turkey, Nov. 15, 2015 (White House photo).",obama
"Does Obama's Half-Brother George Qualify as a Refugee? By Jeannie DeAngelis. Once again, Barack Obama is attempting to heap",obama
He cited examples of several companies that used Microsoft Azure to enhance their offerings and thereby significantly widen their reach.,microsoft
"It's not really Microsoft's fault. PowerPoint gives you all kinds of templates and graphics tools, but all anyone ever uses is boring bullet points on",microsoft
"When Microsoft CEO Satya Nadella first took the job back in early 2014, he laid out a bold vision ",microsoft
"President Barack Obama urged young people in predominantly Muslim Malaysia on Friday to reject the &quot;terrible vision&quot; that drove the Paris attacks, offering an alternative vision in which traditional cultures coexist with a diverse modern world. ",obama
"When Microsoft MSFT -1.92% first announced that Windows 10 would be a free upgrade the world went a little bit mad. It was, of course, great",microsoft
"Wooing British investors, Prime Minister Narendra Modi today said that &quot;necessary conditions&quot; for take-off of the Indian economy have been",economy
Chairman and chief executive officer at MacAndrews &amp; Forbes Ronald Perelman discusses why he's concerned about the United States,economy
" Microsoft is doing big things with its cyber security, having recently announced several new products and upgrades that are going to make companies much more secure and safe online, happy news for Microsoft users. These new products include Microsoft Cloud App Security, Azure Active Directory Identity Protection, updates to The Microsoft Operations Management Suite (OMS) Read more » Microsoft ",microsoft
The latest news on the European economic figures released Friday. All times local: 11:00 a.m. Official figures show that economy of the 19-country eurozone lost momentum during the third quarter despite a number of tail-winds. ,economy
"Harry Potter author JK Rowling on Wednesday publicly criticised Israel for its """"""brutal"""""" and """"""unjust"""""" treatment of the Palestinian people, but",palestine
"On a small farm in northwestern Uganda, Nyantet Malual proudly shows off the cow she bought with earnings from her last harvest. The ability",economy
Competition between Apple and Microsoft is intensifying as the two companies ready the release of flagship tablets ahead of the busy,microsoft
"Growth in the euro zone economy slowed slightly in the third quarter, failing to meet expectations. ",economy
"By Tetsushi Kajimoto TOKYO (Reuters) - Japan's economy probably slipped into technical recession in July-September due to a drop in capital spending and soft external demand and private consumption, a Reuters poll showed. A technical recession is defined as two consecutive quarters of economic contraction. This would translate into a quarterly contraction of 0.1 percent, keeping policymakers ",economy
"She appreciates the Microsoft-funded program that's run by St. Martin's University, and is glad the military gives her time to prepare for a",microsoft
"Microsoft may soon be one of the first U.S. cloud-computing companies to let Europeans store their online data closer to home, a response to fears that U.S. data centers are more vulnerable to snooping by the U.S. government. ",microsoft
"While in Gaza to make the announcement, Yilmaz visited the Turkish-Palestinian Friendship Hospital, which was built by the Turkish",palestine
"Microsoft announced today that it's acquired Mobile Data Labs, the startup behind leading mileage-tracking app MileIQ, for an undisclosed sum",microsoft
"Following a spate of rumours, Microsoft has finally rolled out its first major update to Windows 10 which it is referring to as &quot;November update&quot;,",microsoft
"Obama, a dad who likes dad music, has repeatedly claimed to be a Coldplay fan. This summer, for instance, he put their song """"""Paradise"""""" on a",obama
" Microsoft CEO Satya Nadella has announced plans to build new UK-based data centres which will host the company's commercial cloud services, such as Office 365 and Azure, at Future Decoded in London.  The centres, which will be completed by the end of 2016, come after Europe's highest court rejected &quot;Safe Harbor&quot;   —  the agreement that gave US businesses the ability to work in the EU without ",microsoft
"Economic development is mostly a mystery. In every city, in any given neighborhood, on any given day, people and resources move in and out,",economy
"There is a long tradition of drama in Palestinian culture, but it is not a written one. This point is made by Nathalie Handal in her excellent and",palestine
"BEIJING: China’s central bank on Monday cut the proportion of funds banks must set aside as reserves, in Beijing’s latest attempt to tackle slowing growth in the world’s second largest economy. The People’s Bank of China (PBoC) said in a statement it would trim the so-called “reserve requirement ratio” (RRR) for financial institutions by 0.50 percentage points, freeing up more funds for them to ",economy
This week's Republican presidential debate was on the whole a very grown up affair that finally focused on the sluggish Obama economy.,economy
" Microsoft is letting developers pre-order the HoloLens development edition today, but it's also detailing exactly what's inside the headset. Microsoft has built an entire Windows 10 device into a headset, using a custom-built Microsoft Holographic Processing Unit (HPU) and an Intel 32 bit processor. Microsoft has a variety of sensors inside the HoloLens, including an inertial measurement unit ",microsoft
"Microsoft rolled out the first major PC update for Windows 10, purchased Israeli security firm Secure Islands, and tried to guess emotions with",microsoft
"President Obama pointed the finger at Russia over its warplane being shot down by Turkey, suggesting the incident might not have happened if Moscow were more concerned with hitting ISIS targets than moderate opposition to Syria’s Bashar Assad – a campaign that puts them dangerously close to the Turkish border. ",obama
I've seen people complaining about Destiny's economy changes. I've seen people exhausted with the current content and bemoaning the grind,economy
"In this Oct.18, 2015 file photo, US Secretary of State John Kerry delivers a speech during a luncheon at the UNESCO in Paris, France.",palestine
"The Emergency Bureau for the FIFA World Cup Qualifiers, composed of chairman Shk. Salman Bin Ebrahima Al Khalifa (Bahrain), deputy chairman Juan Ángel Napout (Paraguay) and Michel D’Hooghe (Belgium), has decided that Palestine’s upcoming 2018 FIFA World Cup qualifiers against Saudi Arabia and Malaysia, scheduled to take place in Palestine, both need to be played on neutral ground ",palestine
"Jeb Bush said he would send U.S. ground troops into Syria to help local forces oust Islamic State from its capital of Raqqah, a measure Obama",obama
"Sreedhar Potarazu, an ophthalmologist and entrepreneur, is the founder of Enziime, a software company focused on providing data science",obama
"Continuing its push for relevance in a world increasingly dependent on mobile devices, Microsoft is buying Mobile Data Labs, the company",microsoft
"microsoft Jon Markman: In the last week of December 1999, Microsoft Corporation (NASDAQ:MSFT) crested after a magnificent decade.",microsoft
"RAMALLAH, Palestinian Territories: Palestine’s football association on Thursday said it had reluctantly agreed to play upcoming World Cup qualifying matches against Saudi Arabia and Malaysia at neutral venues, with the games set for Jordan. ",palestine
"Microsoft Corporation said Friday that it had reorganized its in-house legal department, naming a new general counsel, Horacio Gutierrez.",microsoft
RUSH: It's time to illustrate in song some of the absurdities of our current administration and its members because we've gotta do something,obama
"The other Palestinian, Omar al-Za'aqiq, 19, was also shot dead after ramming his car into Israeli soldiers in Beit Ummar, injuring six soldiers.",palestine
The unanimous voice vote followed a raucous public comment period at Monday's meeting. ,palestine
"The White House * North Portico * 11:00 AM """""" On Friday, November 27th, First Lady Michelle Obama will welcome the Official White House",obama
Fluorescent lights burn in the homes of Palestinian activists 24 hours a day now. Ambiguity is evaporating. Options lie on the rock-strewn,palestine
"Another Palestinian identified as Mahmoud 'Ubaid, was detained after breaking into and ransacking his house in the Jerusalem neighborhood",palestine
"A new cross-sectoral group that includes business leaders, labour, non-governmental organizations, government and academics says it's time to seriously accelerate the transition to a high-efficiency, low carbon economy and make Canada a global environmental brand. Smart Prosperity officially launches Tuesday in Vancouver with a boost from Prime Minister Justin Trudeau, whose Liberal government's ",economy
Barack Obama has congratulated pro-democracy leader Aung San Suu Kyi on success in Myanmar's' elections. ,obama
EPHRATA - Grant County residents were given an opportunity to speak to the Grant PUD commissioners about the proposed 2016 rate changes. ,microsoft
The Obama administration asked the Supreme Court on Friday to reverse a lower court ruling that blocked the president's plan to defer deportation for as many as 5 million immigrants living in the U.S. illegally. U.S. Solicitor Gen. Donald Verrilli asked for an &quot;immediate review&quot; of a 2-1 ruling ,obama
"President Barack Obama and his wife Michelle are at each other's throats on Oct. 11, """"""Malia Obama was taking shots and playing beer pong.",obama
Microsoft’s HoloLens is taking the next big step toward putting the augmented reality headgear in consumer hands. ,microsoft
"U.S. President Barack Obama speaks at the Young Southeast Asian Leaders Initiative (YSEALI) during a town hall meeting at Taylor's University in Kuala Lumpur, Malaysia, Friday, Nov. 20, 2015. President Obama urged young people in predominantly Muslim Malaysia on Friday to reject the â€ terrible visionâ€ that drove the Paris attacks, offering an alternative vision in which traditional cultures ",obama
Around 100 women have been killed in Palestine and Israel since 2005 but the police have failed to take any serious step to hold the,palestine
"Manifold Technology has realised the friction within banking rewards programmes is just a symptom of a widespread disease affecting the reconciliation of internal accounts at large financial institutions. It's a malaise blockchains can cure, believes Chris Finan, CEO, Manifold Technology, which is one of the blockchain partners chosen to be part of the Microsoft Azure BaaS cloud offering. Core ",microsoft
"Let me tell you a story of the battle between the """"""inflation targeters"""""" and the """"""accelerationists."""""" You'll want to hear this bit of economic history",economy
"Heavily-guarded Israeli troops raided the Bethlehem refugee camp, breaking into and ransacking many houses before detaining a Palestinian.",palestine
"Dying for Palestine. Palestinians carry the body of of Khaled Jawabrah, 19, who died after being shot during clashes with Israeli security forces",palestine
President Barack Obama urged young people in predominantly Muslim Malaysia on Friday to reject the ,obama
"President Barack Obama heads Friday to the capital of Malaysia for a gathering of regional leaders expected to focus on economic issues, terrorism and territorial disputes. Obama is joining the leaders of the 10 member nations of the Association of Southeast Asian Nations, or ASEAN, and other world leaders at the second of a pair of annual summits. Terror threat Security has been expanded ",obama
"The company is said to be talking to property investment companies and retailers. The store would follow the &quot;store-within-a-store&quot; model, whereby a larger retail",microsoft
"Clinton called for revitalizing the economy to create more jobs, helping the middle class and not just wealthy entrepreneurs, she said. &quot;I believe",economy
President Barack Obama is not interested in hearing intelligence information about Islamist groups he does not consider to be terrorist groups,obama
"Since its deployment in November 2010, Microsoft's Kinect technology has been investigated for its potential therapeutic use in motor skill",microsoft
"Europe should not shut itself off to &quot;new business models&quot; offered by the sharing economy and companies such as Uber, the EU's executive Commission said on Wednesday as it launched plans to revamp the bloc's single market. The European Commission is trying to inject new impetus into the single market, which has helped the 28-nation EU to become the world's largest economy, by opening up the ",economy
"Every summer, 16 girls travel from Israel and Palestine to Santa Fe in an effort to sow seeds of peace between their countries. They spend three",palestine
"By every possible metric, Obama inherited an economic catastrophe from Bush's brother and took effective steps to get the economy back on",economy
"The wait for Microsoft's new Surface Book in the UK has got longer. According to Michael Gillett, Microsoft MVP, it was disclosed at the Future Decoded event in London that the Surface Book would be coming only after March or April next year. Meanwhile, Gillett said pre-orders for the Lumia Windows 10 flagship models – Lumia 950 and 950 XL - would go live sometime next week on the Microsoft Store. ",microsoft
"The European Union will provide """"""10 million of fresh support to Palestine Refugees through the United Nations Relief and Works Agency for",palestine
"Obama has responded with emotions rarely seen during his stoical administration: anger at 'hysterical' politicians back home, sorrow at the",obama
Microsoft today published the official list of Xbox 360 titles that will be backward compatible on Xbox One after the console's update on November 12. It includes 104 titles. ,microsoft
The US economy is turning into a nightmare for recruiters: they just can't find enough qualified ,economy
The company tries to engender fuzzier feelings. It’s working. ,microsoft
"While consumers are much more tech-savvy today than we were during the days of Windows 3.1 and baud modems, there are still a lot of",microsoft
"The Economy This Month Broken Down For Business enables you to quickly stay on top of the economic climate, giving you time back to focus",economy
Microsoft has launched a Chrome extension that makes it easier to create and access Office files ,microsoft
"If Barack Obama wants to be remembered as a better President than he was a candidate, he needs to stop running now. He also needs to stop",obama
"Facebook has already opened a European data centre in Lule"""", Sweden. Now Microsoft is looking to open them in the UK. Photograph: David",microsoft
"The Palestinian Health Ministry reported that the soldiers killed Yahya Yosri Taha, 21 years of age, with one live round in the head, during",palestine
"The earnest obligation to vote seems to have lost meaning with many turning the civic duty into a season of cash bonanzas. Last week, the",economy
"Microsoft's online shipping and delivery service is in the dock, this time angering fans of Redmond's Windows wearable. Hopeful owners of the",microsoft
"It's the virtual reality platform that it seemed would never get a release date. Microsoft’s HoloLens developer kit, the company’s first foray into VR and augmented reality hardware, is finally available for preorder. The $3,000 kit will start shipping in the U.S. and Canada on March 30, bundled with three games, a variety of holographic experiences and documentation on how to build HoloLens ",microsoft
"The first, President Barack Obama, made history by becoming the first Kenyan-American President of the world's most powerful nation,",obama
"Barack Obama has moved to ensure that the Paris attacks do not sabotage a crucial climate change summit in the city next week, urging his",obama
"RAMALLAH, November 24, 2015 (WAFA) """""" The rate of hotel guests who visited Palestine in the third quarter of 2015 was 24% higher than the third quarter of",palestine
"In her pursuit of the Democratic nomination for president, Hillary Rodham Clinton has emphasized her ties to President Obama. She regularly",obama
"WASHINGTON -- President Barack Obama on Tuesday urged Americans to &quot;uphold our highest ideals,&quot; including the freedom of religion, in the aftermath of the recent  terrorist attacks on Paris by the Islamic State group. &quot;Part of being vigilant, another part of defeating terrorists like ISIL, is upholding the rights and freedoms that define our two great republics,&quot; Obama said during a joint press ",obama
"They helped Palestine to a 9-25 record, 1-7 in 18-4A after the Ladycats struggled at times to be competitive and failed to win a district match in",palestine
President Obama tried to put a human face on the global crisis that has become a political battle back home as he sat down with migrant,obama
"2010 files: The Right Honourable Stephen Harper, Prime Minister of Canada, arrives at the Muskoka Airport via motorcade to board a",economy
Mobile and home broadband customers will gain access to 200GB of Microsoft cloud storage under a new offering from Telstra. ,microsoft
"The Bay Area is one of the brightest sparks in the nation’s recovering economy but feeding its vitality means residents will have to give up a lot of local control, dig deeper into their wallets, and make room for tens of thousands of new neighbors, according to study released Friday ",economy
Companies are looking for innovative ways to stay ahead of cybercriminals after the major data breach of Ashley Madison and T-Mobile earlier,microsoft
"The eurozone economy can't achieve lift-off, it seems, despite a number of positive tail-winds. LONDON: The eurozone economy can't achieve lift-off, it seems, despite a number of positive tail-winds. ",economy
Microsoft is making a bet on the hologram as the future of personal computing with a new device called HoloLens. ,microsoft
It was deja vu for the Malaysian national football team after Palestine again whipped Harimau Malaya 6-0 in the Fifa World Cup Qualifiers,palestine
"&quot;On this international day of solidarity, let us reaffirm our commitment to bring about the justice and peace that the people of Israel and Palestine",palestine
"If you ask Microsoft why the company is making the Band 2, as I have over the past few weeks, you'll get a variety of answers. Some will say it's",microsoft
"""""""We will defend the movement of the Palestinian people with all of our existence, and in any way and as long as we can,"""""" Khamenei reportedly",palestine
The victory lap President Obama wants to take in Asia this week over a sweeping Pacific trade deal stands to be dampened by frustration among some of his chief allies back home: organized labor.Leaders from the 12 participating nations that signed off on final terms of the Trans-Pacific Partnership ,obama
"With the launch of Windows 10, Microsoft made a smart move by first asking users to reserve their copy, then sending out the actual upgrade in waves so as to not bring the Internet to a screeching halt. It worked, and Microsoft claims that over 110 million devices are now running Windows 10. But since things have died down a little, Redmond is ready to start distributing the new OS a little more ",microsoft
"WASHINGTON """""" The Obama administration on Friday asked the Supreme Court to rescue the president's overhaul of the nation's immigration",obama
"This so-called &quot;American&quot; MUST be eradicated along with her illegal boss, Obama! I don't trust either of them as they would gladly turn us over",obama
President Francois Hollande faces the challenge of knitting together a coherent coalition with a durable strategy for tackling the Islamic State in,obama
President Barack Obama speaks to the media during his closing press conference on day two of the G20 leaders summit in Turkey.,obama
"New Delhi: Attributing the NDA's defeat in Bihar assembly elections to 'huge index of opposition unity', Finance Minister Arun Jaitley today said",economy
"Microsoft reduces price for Office 365 Import Service Pricing for the ingestion of non-Microsoft data (Twitter, Facebook, Bloomberg, etc.) is not",microsoft
"The US economy added 271,000 jobs in October, about 90,000 more than expected. The unemployment rate dropped to 5%.",economy
