idx,sentence,label
106,"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ",0
107,do n't work in concert ,0
110,"it 's too harsh to work as a piece of storytelling , ",0
114,altogether too slight to be called any kind of masterpiece ,0
115,grievous but ,0
116,"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ",0
117,hopeless ,0
119,nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,0
121,are n't many conclusive answers in the film ,0
122,"clumsy dialogue , heavy-handed phoney-feeling sentiment , ",0
123,"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ",0
125,the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ,0
129,just too silly ,0
131,it is supremely unfunny and unentertaining to watch middle-age and ,0
133,irritates and ,0
134,collapse ,0
138,"( vainly , i think ) ",0
139,is one big excuse to play one lewd scene after another . ,0
143,"watching this digital-effects-heavy , supposed family-friendly comedy ",0
144,absolutely and completely ridiculous and ,0
146,"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ",0
148,"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ",0
151,no lika da ,0
154,just one that could easily wait for your pay per view dollar ,0
155,justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,0
159,about as interesting ,0
161,"overlong , and bombastic ",0
162,derivative and hammily ,0
165,disney again ransacks its archives for a quick-buck sequel . ,0
169,"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ",0
173,think of this dog of a movie ,0
175,those so-so films that could have been much better ,0
178,i hate it . ,0
180,"no one involved , save dash , shows the slightest aptitude for acting ",0
181,in this wildly uneven movie ,0
183,"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ",0
186,being able to hit on a 15-year old when you 're over 100 ,0
187,"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ",0
189,starts off so bad that you feel like running out screaming ,0
190,men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,0
193,", plodding picture ",0
194,"the character dramas , which never reach satisfying conclusions ",0
195,lost in the translation this time ,0
198,a plot cobbled together from largely flat and uncreative moments ,0
199,inane and awful ,0
200,told in scattered fashion ,0
202,"believe it or not , jason actually takes a backseat in his own film to special effects ",0
203,only thing to fear about `` fear dot com '' ,0
204,whole mess ,0
207,a résumé loaded with credits like `` girl in bar # 3 ,0
209,very little to add beyond the dark visions already relayed by superb recent predecessors ,0
210,"the , yes , snail-like pacing ",0
211,an extremely unpleasant film . ,0
213,"the whole affair , true story or not , feels incredibly hokey ... ",0
214,are all things we 've seen before ,0
218,as predictable as the tides ,0
221,", unassuming , subordinate ",0
222,the horror ,0
226,a dim ,0
227,", vicious and absurd ",0
228,because he acts so goofy all the time ,0
233,as a dentist 's waiting room ,0
235,amazingly lame . ,0
236,confessions may not be a straightforward bio ,0
237,seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little ,0
238,the story is bogus and ,0
241,ugly as the shabby digital photography ,0
242,understand the difference between dumb fun and just plain dumb ,0
244,frida is n't that much different from many a hollywood romance . ,0
247,"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ",0
248,carnage and ,0
249,"degraded , handheld blair witch video-cam footage ",0
250,second fiddle ,0
251,about the folly of superficiality that is itself ,0
252,"serves as auto-critique , and its clumsiness as its own most damning censure . ",0
253,tedious norwegian offering which somehow snagged an oscar nomination . ,0
254,", esther kahn is unusual but unfortunately also irritating . ",0
256,halfway through this picture i was beginning to hate it ,0
257,a setup so easy it borders on facile ,0
258,a thoroughly awful movie ,0
260,"look smeary and blurry , to the point of distraction ",0
262,"guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves ",0
263,"breezy , distracted rhythms ",0
264,than this mess ,0
270,two guys who desperately want to be quentin tarantino when they grow up ,0
271,no new plot conceptions ,0
272,essentially a collection of bits -- ,0
273,does n't bode well for the rest of it ,0
275,usual worst ,0
279,i could have used my two hours better watching being john malkovich again . ,0
284,scant ,0
286,too ludicrous ,0
293,ultra-cheesy dialogue ,0
297,handsome but unfulfilling suspense drama ,0
298,'s not very good either . ,0
299,in her most charmless ,0
302,"everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way . ",0
304,ugly digital video ,0
306,rather choppy ,0
307,becomes one more dumb high school comedy about sex gags and prom dates ,0
313,is worse : ,0
314,horrifying ,0
315,mourns her tragedies in private ,0
316,the action scenes are poorly delivered ,0
317,it 's so bad ,0
318,so bad ,0
320,"dabbles all around , never gaining much momentum ",0
323,does n't leave you with much . ,0
326,"marivaux 's rhythms , and mira sorvino 's limitations as a classical actress ",0
327,is less successful on other levels ,0
330,he appears miserable throughout as he swaggers through his scenes ,0
333,"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ",0
334,"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0
337,", it never quite makes the grade as tawdry trash . ",0
341,"enactments , however fascinating they may be as history , are too crude to serve the work especially well . ",0
343,the dehumanizing and ego-destroying process ,0
344,taboo subject matter ,0
346,utterly incompetent conclusion ,0
349,run for cover ,0
350,low budget ,0
352,"walked out muttering words like `` horrible '' and `` terrible , '' ",0
355,a giant step backward ,0
357,just copies ,0
360,"from lynch , jeunet , and von trier while failing to find a spark of its own ",0
362,this frozen tundra soap opera ,0
364,is simply too overdone ,0
368,try and evade ,0
372,far tamer ,0
375,is never any question of how things will turn out ,0
376,only open new wounds ,0
377,despite suffering a sense-of-humour failure ,0
383,sleepwalk through vulgarities in a sequel you can refuse ,0
384,with no reason for being ,0
385,"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be . ",0
390,a movie that ca n't get sufficient distance from leroy 's ,0
393,of special effects that run the gamut from cheesy to cheesier to cheesiest ,0
394,the worst film a man has made about women since valley of the dolls ,0
395,"come , already having been recycled more times than i 'd care to count ",0
399,", partisans and sabotage ",0
400,gory as the scenes of torture and self-mutilation ,0
403,the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,0
404,"this obscenely bad dark comedy , so crass ",0
407,schticky ,0
411,"( less a movie than ) an appalling , odoriferous thing ... so ",0
414,the stomach-turning violence ,0
415,could use a little more humanity ,0
416,not everything ,0
418,a slow-moving police-procedural thriller ,0
419,a bad idea from frame one ,0
422,volletta wallace 's maternal fury ,0
424,atop wooden dialogue ,0
425,that it progresses in such a low-key manner that it risks monotony ,0
430,it seeks excitement in manufactured high drama ,0
431,feeble comedy . ,0
432,an insult to every family ,0
433,it is essentially empty ,0
434,of the film 's problems ,0
435,makes my big fat greek wedding look like an apartheid drama ,0
436,is not even half the interest . ,0
437,never achieve the popularity of my big fat greek wedding ,0
439,"right now , they 're merely signposts marking the slow , lingering death of imagination . ",0
441,"often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? ",0
442,the energy it takes to describe how bad it is ,0
443,wait to see it then . ,0
447,comatose ballerinas ,0
449,"of the road , where the thematic ironies are too obvious and the sexual politics too smug ",0
450,formulaic equations ,0
454,"simply stupid , irrelevant ",0
456,a heavy-handed indictment of parental failings and ,0
458,seem weird and distanced ,0
461,plodding mess ,0
462,"the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally . ",0
464,you 'll find yourself wishing that you and they were in another movie . ,0
465,of dishonesty ,0
466,as bestial ,0
467,"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor ",0
468,", they prove more distressing than suspenseful . ",0
474,her bully of a husband ,0
475,gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story . ,0
476,the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters ,0
478,stale retread ,0
480,an already thin story boils down to surviving invaders seeking an existent anti-virus . ,0
482,with fewer gags to break the tedium ,0
483,overbearing and ,0
484,deep deceptions ,0
496,"hampered -- no , paralyzed -- by a self-indulgent script ... ",0
497,is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance . ,0
499,which nurses plot holes gaping enough to pilot an entire olympic swim team through ,0
501,a bad blend ,0
505,excruciatingly unfunny and pitifully unromantic . ,0
506,war movies ,0
509,the cliché-laden screenplay ,0
510,"girlfriends are bad , wives are worse ",0
512,", and as easy to be bored by as your abc 's , ",0
517,ransacks ,0
518,lacks the charisma and ability to carry the film on his admittedly broad shoulders . ,0
519,book report ,0
520,leave the theater ,0
521,spousal abuse ,0
522,"the director , with his fake backdrops and stately pacing , ",0
524,anyone who suffers through this film ,0
526,"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion . ",0
529,it 'll probably be in video stores by christmas ,0
531,underachiever ,0
534,dime-store ruminations ,0
536,", reality shows -- reality shows for god 's sake ! ",0
537,"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes . ",0
538,'ll cry for your money back ,0
540,"is worse : the part where nothing 's happening , or the part where something 's happening ",0
541,"like max rothman 's future , does not work . ",0
543,"has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and ",0
545,bad run ,0
546,may just end up trying to drown yourself in a lake afterwards . ,0
549,"at this time , with this cast , this movie is hopeless ",0
550,time bombs ,0
552,the surface histrionics failing to compensate for the paper-thin characterizations and facile situations ,0
553,"plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter . ",0
554,a sour taste in one 's mouth ,0
556,"... familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . ",0
558,responsible for one of the worst movies of one year ,0
559,"appalling , shamelessly manipulative and contrived ",0
561,human darkness ,0
562,"understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself ",0
563,it 's too loud to shout insults at the screen ,0
564,"'s a long way from orwell 's dark , intelligent warning cry ( 1984 ) ",0
567,ardently waste viewers ' time with a gobbler like this ,0
570,see how many times they can work the words `` radical '' or `` suck '' into a sentence ,0
575,a doubt ,0
576,maudlin or ,0
578,a party-hearty teen flick that scalds like acid . ,0
579,"the wan , thinly sketched story ",0
581,this romantic/comedy asks the question how much souvlaki can you take before indigestion sets in . ,0
586,failure to construct a story with even a trace of dramatic interest ,0
587,but it also comes with the laziness and arrogance of a thing that already knows it 's won . ,0
588,"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni . ",0
590,", future lizard endeavors will need to adhere more closely to the laws of laughter ",0
591,a philosophical void ,0
592,unlikable characters and a self-conscious sense ,0
594,hot on the hardwood proves once again that a man in drag is not in and of himself funny . ,0
595,hopelessly juvenile ,0
598,required to give this comic slugfest some heart ,0
599,feel more like a non-stop cry for attention ,0
601,feel more like literary conceits than flesh-and-blood humans ,0
602,no explanation ,0
604,"a chilly , remote , emotionally distant piece ... so dull that its tagline should be ",0
606,a bargain-basement european pickup ,0
611,"it 's just weirdness for the sake of weirdness , and where human nature should be ingratiating , it 's just grating . ",0
615,"spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ",0
616,"is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own ",0
617,"it lacks the compassion , good-natured humor and the level of insight that made ( eyre 's ) first film something of a sleeper success . ",0
620,obscenely bad ,0
621,devastatingly ,0
622,i do n't see the point ,0
623,comes off like a bad imitation of the bard ,0
628,stiff or just plain bad ,0
632,has no point ,0
633,of isolation and frustration ,0
635,"of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel ",0
638,that there 's no other reason why anyone should bother remembering it ,0
640,father cliché ,0
641,domestic tension and unhappiness ,0
642,"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable ",0
647,inexpressible and drab wannabe ,0
648,"the hail of bullets , none of which ever seem to hit ",0
650,"'s about as convincing as any other arnie musclefest , but has a little too much resonance with real world events and ",0
651,to hate ,0
658,turned down ,0
660,undramatic ,0
661,the pile of useless actioners ,0
666,does not work . ,0
667,it is n't merely offensive ,0
678,the film goes right over the edge and kills every sense of believability ,0
679,"a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor . ",0
680,emotional seesawing ,0
682,target audience has n't graduated from junior high school ,0
685,the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire ,0
687,a pretty listless collection ,0
690,have been called freddy gets molested by a dog ,0
691,moody male hustler ,0
692,uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels ,0
694,which is mostly a bore ,0
696,suspect that you 'll be as bored watching morvern callar as the characters are in it . ,0
699,"... the efforts of its star , kline , to lend some dignity to a dumb story are for naught . ",0
700,flat as the scruffy sands of its titular community ,0
702,"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story ",0
705,"might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead . ",0
710,"the intimate , unguarded moments of folks who live in unusual homes -- ",0
712,"( i ) t 's certainly laudable that the movie deals with hot-button issues in a comedic context , but barbershop is n't as funny as it should be . ",0
713,that the only rip off that we were aware of ,0
716,no quarter to anyone seeking to pull a cohesive story out of its 2 1/2 - hour running time ,0
720,'s that painful . ,0
721,american beauty reeks ,0
722,"clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long ",0
723,without any of its sense of fun or energy ,0
725,"'s simply stupid , irrelevant and deeply ",0
733,an all-time low ,0
743,is shockingly bad and absolutely unnecessary . ,0
745,"the result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's hollywood . ",0
750,low on both suspense and payoff ,0
753,would tax einstein 's brain . ,0
754,'s its first sign of trouble ,0
755,ca n't believe anyone would really buy this stuff ,0
757,if ever such a dependable concept was botched in execution ,0
758,wedding feels a bit anachronistic . ,0
759,been lost in the translation this time ,0
761,the pianist like a surgeon mends a broken heart ; very meticulously but without any passion ,0
762,remains oddly detached ,0
767,go down with a ship as leaky ,0
771,"make the film more silly than scary , like some sort of martha stewart decorating program run amok ",0
774,a lazy exercise in bad filmmaking ,0
775,this thing is virtually unwatchable . ,0
777,would ever work in a mcculloch production again if they looked at how this movie turned out ,0
784,exaggerated and ,0
785,"takes a really long , slow and dreary time ",0
789,humorless ,0
792,bite ,0
793,amounts to little more than punishment . ,0
796,makes piecing the story together frustrating difficult ,0
798,the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence ,0
803,grotesque narcissism ,0
806,it wore me down ,0
807,be so stupid ,0
809,what we get in feardotcom is more like something from a bad clive barker movie . ,0
811,from the clumsy cliché of the ugly american ,0
814,the passive-aggressive psychology of co-dependence ,0
816,does not live up to its style ,0
820,"first , for a movie that tries to be smart , it 's kinda dumb . ",0
822,worst sense ,0
825,"human nature is a goofball movie , in the way that malkovich was , but it tries too hard ",0
826,overplayed ,0
827,should be poignant ,0
830,kirshner and monroe seem to be in a contest to see who can out-bad-act the other . ,0
831,mug shots ,0
832,the barbarism of ` ethnic cleansing ,0
838,haute ,0
840,ugly and ,0
843,a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility . ,0
845,"the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name ",0
847,"'ve had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama . ",0
849,well to cram earplugs ,0
850,who is simply tired ,0
851,"it 's the little nuances that perhaps had to escape from director mark romanek 's self-conscious scrutiny to happen , that finally get under your skin ",0
854,emaciated flick ,0
855,"jim brown treats his women -- as dumb , credulous , unassuming , subordinate subjects ",0
856,point at things that explode into flame ,0
859,has n't escaped the rut dug by the last one ,0
862,an unsuccessful attempt at a movie ,0
863,sometimes confusing ,0
867,a soap-opera quality twist in the last 20 minutes ... almost puts the kibosh on what is otherwise a sumptuous work of b-movie imagination . ,0
868,to change hackneyed concepts when it comes to dreaming up romantic comedies ,0
869,the folly of superficiality that is itself ,0
870,lumbering load ,0
871,a 95-minute commercial for nba properties ,0
872,though many of these guys are less than adorable ,0
874,is deadly dull ,0
875,inferior ,0
880,"loud , ugly , irritating movie ",0
884,"lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run ",0
887,impossible task ,0
891,lack their idol 's energy and passion for detail ,0
898,somehow snagged an oscar nomination ,0
903,the satire is just too easy to be genuinely satisfying . ,0
905,neither is it as smart ,0
908,"time literally stops on a dime in the tries-so-hard-to-be-cool `` clockstoppers , '' but that does n't mean it still wo n't feel like the longest 90 minutes of your movie-going life ",0
911,"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were . ",0
912,'n safe as to often play like a milquetoast movie of the week blown up for the big screen ,0
919,aims for poetry and ends up sounding like satire ,0
920,come close to the level of intelligence and visual splendor that can be seen in other films ,0
922,is it hokey ,0
923,as assaults on america 's knee-jerk moral sanctimony ,0
924,that 's hardly any fun to watch ,0
932,from kevin kline who unfortunately works with a two star script ,0
933,"change watching such a character , especially when rendered in as flat and ",0
934,i do n't think so . ,0
935,"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking ",0
937,"great to see this turd squashed under a truck , preferably a semi ",0
938,"bile , and irony ",0
939,"a faulty premise , ",0
940,haphazardness ,0
941,"the plot grows thin soon , ",0
944,crossing-over mumbo jumbo ,0
945,virtually unwatchable ,0
948,who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent ,0
950,heavy with flabby rolls of typical toback machinations . ,0
952,"pitiful , slapdash disaster . ",0
956,crippled ,0
957,this piece of crap ,0
965,miserable and smug ,0
967,"it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense . ",0
970,down the reality drain ,0
971,"the only way to tolerate this insipid , brutally clueless film might be with a large dose of painkillers . ",0
972,a historic scandal ,0
975,"idea ( of middle-aged romance ) is not handled well and , except for the fine star performances ",0
976,their lamentations are pretty much self-centered ,0
981,would n't have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head ,0
984,a documentary fails to live up to -- or offer any new insight into -- its chosen topic ,0
986,insistent and repetitive ,0
987,nausea ,0
989,no art ,0
990,seems to exist only for its climactic setpiece ,0
991,more silly than scary ,0
995,you wish you were at home watching that movie instead of in the theater watching this one ,0
996,'s no point in extracting the bare bones of byatt 's plot for purposes of bland hollywood romance ,0
997,underdeveloped ,0
998,the jokes are flat ,0
1004,do we really need the tiger beat version ? ,0
1005,the disadvantage of also looking cheap ,0
1006,churn out one mediocre movie after another ,0
1008,"this movie is a phlegmatic bore , so tedious it makes the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian . ",0
1009,"cheapo animation ( like saturday morning tv in the '60s ) , a complex sword-and-sorcery plot and characters who all have big round eyes and japanese names ",0
1012,then just fell apart ,0
1013,"despite its dry wit and compassion , the film suffers from a philosophical emptiness and maddeningly sedate pacing . ",0
1015,is awful . ,0
1019,like `` horrible '' and `` terrible ,0
1021,is off-putting ,0
1022,gets bogged down over 140 minutes . ,0
1024,a pack of dogs who are smarter than him ,0
1027,this film biggest problem ? ,0
1030,it 's lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay . ,0
1032,"are the uneven performances by the cast members , who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent ",0
1033,it plainly has no business going ,0
1038,stereotypical caretakers ,0
1044,waster ' ,0
1047,no place for this story to go but down ,0
1049,are credited with the cliché-laden screenplay ,0
1051,"flat , ",0
1054,much of what 's on saturday morning tv especially the pseudo-educational stuff we all ca n't stand ,0
1056,"muddled , simplistic and more than a little pretentious . ",0
1060,than losers ,0
1061,comedy that takes an astonishingly condescending attitude toward women ,0
1062,"flashy , overlong soap ",0
1066,by no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act ,0
1070,"begin to tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents ",0
1072,", dopey old ",0
1076,"the star who helped give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer 's new action film , `` the sum of all fears ",0
1078,"trouble every day is a success in some sense , but it 's hard to like a film so cold and dead ",0
1079,quickly becomes a tiresome cliché ,0
1083,be completely forgettable ,0
1085,"low-brow humor , gratuitous violence ",0
1090,a bland animated sequel ,0
1092,"a stab at soccer hooliganism , a double-barreled rip-off of quentin tarantino 's climactic shootout -- and ",0
1094,trouble every day is a plodding mess . ,0
1095,to be consumed and forgotten ,0
1096,", the screenplay by billy ray and terry george leaves something to be desired . ",0
1097,its one-sidedness ,0
1099,uneven film ,0
1100,"is n't heated properly , so that it ends up ",0
1102,tried as a war criminal ,0
1105,to make such a worthless film ,0
1107,devoid of any of the qualities that made the first film so special . ,0
1109,a waterlogged version of ` fatal attraction ' for the teeny-bopper set ... ,0
1111,what a reckless squandering ,0
1115,"like one long , meandering sketch inspired by the works of john waters and todd solondz , rather than a fully developed story ",0
1116,"by the ensemble cast , the flat dialogue by vincent r. nebrida or the gutless direction by laurice guillen ",0
1117,time-consuming ,0
1119,is n't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own ,0
1122,"a little too ponderous to work as shallow entertainment , not remotely incisive enough to qualify as drama , monsoon wedding serves mostly to whet one 's appetite for the bollywood films . ",0
1125,"the profoundly devastating events of one year ago and the slow , painful healing process that has followed in their wake ",0
1127,the film 's desire to be liked sometimes undermines the possibility for an exploration of the thornier aspects of the nature/nurture argument in regards to homosexuality . ,0
1132,"everything 's serious , poetic , earnest and -- sadly -- dull . ",0
1135,of anti-semitism ever seen on screen ,0
1136,ends with a story that is so far-fetched it would be impossible to believe if it were n't true ,0
1142,questionable ,0
1146,gaps in their relationships ,0
1147,"we 've seen the hippie-turned-yuppie plot before , but ",0
1148,it 's supposed to be a romantic comedy - it suffers from too much norma rae and not enough pretty woman . ,0
1149,badly edited ,0
1150,run out of clever ideas and visual gags about halfway through ,0
1151,i am baffled by jason x. ,0
1154,is not first-rate ,0
1161,comes across as a fairly weak retooling . ,0
1164,"conventional -- lots of boring talking heads , etc. -- to do the subject matter justice ",0
1166,blab ,0
1167,is standard crime drama fare ... instantly forgettable and thoroughly dull . ,0
1169,"has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler ",0
1171,and a terrible story ,0
1172,'s that painful ,0
1174,"a zippy 96 minutes of mediocre special effects , hoary dialogue , fluxing accents , and -- worst of all -- silly-looking morlocks . ",0
1177,"of logic and misuse of two fine actors , morgan freeman and ashley judd ",0
1181,", the grey zone attempts to be grandiloquent , but ends up merely pretentious -- in a grisly sort of way . ",0
1182,"what little atmosphere is generated by the shadowy lighting , macabre sets , and endless rain is offset by the sheer ugliness of everything else . ",0
1184,an uninspired preachy and clichéd war film . ,0
1186,it 's the worst movie i 've seen this summer ,0
1188,"one of the most frantic , virulent and foul-natured christmas season pics ever delivered by a hollywood studio ",0
1189,( seagal 's ) strenuous attempt at a change in expression ,0
1191,"promisingly but disintegrates into a dreary , humorless soap opera . ",0
1193,in a grisly sort of way ,0
1194,nothing going for it other than its exploitive array of obligatory cheap ,0
1195,more frustrating ,0
1196,lacks both a purpose and a strong pulse ,0
1199,of sleaziness ,0
1200,"this too-long , spoofy update ",0
1201,shoddy male hip hop fantasy ,0
1202,", cynical ",0
1203,like puppies with broken legs ,0
1205,knock back a beer with but they 're simply not funny performers ,0
1207,just is n't as weird as it ought to be . ,0
1211,as if by cattle prod ,0
1212,struggling ,0
1215,all about the benjamins evokes the bottom tier of blaxploitation flicks from the 1970s . ,0
1218,dreadfulness ,0
1219,it 's not very interesting . ,0
1222,out ,0
1223,"it does n't take a rocket scientist to figure out that this is a mormon family movie , and a sappy , preachy one at that . ",0
1225,humor in i spy is so anemic . ,0
1226,the by now intolerable morbidity ,0
1229,it would fit chan like a $ 99 bargain-basement special . ,0
1230,"seem tired and , ",0
1231,one of the saddest action hero performances ever witnessed ,0
1235,help overcome the problematic script . ,0
1240,"as underwater ghost stories go , below casts its spooky net out into the atlantic ocean and spits it back , grizzled and charred , somewhere northwest of the bermuda triangle . ",0
1241,drowned me ,0
1242,a movie character more unattractive or odorous ( than leon ) ,0
1243,"haneke 's script ( from elfriede jelinek 's novel ) is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending . ",0
1245,", scoob and shag do n't eat enough during the film . ' ",0
1246,a screwed-up man ,0
1247,rumblings ,0
1250,lightweight filmmaking ,0
1252,"is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound . ",0
1254,hackneyed concepts ,0
1256,"remarkably fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots ( or cinema seats ) ",0
1259,wickedly undramatic ,0
1268,"an evil , monstrous lunatic ",0
1272,excruciatingly tedious ,0
1273,beyond redemption ,0
1275,sleep-inducing ,0
1277,never rises above mediocrity ,0
1280,farts ,0
1283,'ve seen the hippie-turned-yuppie plot before ,0
